Change Component Physical Designator: Old Designator=Beep1 New Designator=Beep1.2
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Reset Component Physical Designator: Old Designator=SW? New Designator=SW?
Change Component Physical Designator: Old Designator=U1 New Designator=U1.9
Change Component Physical Designator: Old Designator=U1 New Designator=U1.9
Change Component Physical Designator: Old Designator=U1 New Designator=U1.9
Change Component Physical Designator: Old Designator=U1 New Designator=U1.9
Change Component Physical Designator: Old Designator=U1 New Designator=U1.4
Change Component Physical Designator: Old Designator=U2 New Designator=U2.9
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=U? New Designator=U?
Reset Component Physical Designator: Old Designator=Y? New Designator=Y?
